N-NUMBER,MFR MDL CODE
100  ,7100510
10000,2130004
10001,9601202
10004,2072738
10006,1152020
10007,2073430
10009,8930105
1000A,3801213
1000E,2076604
1000H,0191202
1000J,1151208
1000L,1152706
1000M,9230408
1000N,2074220
1000P,7102808
1000Q,2074238
1000R,4690506
1000S,0631410
1000T,1151520
1000U,2071835
1000W,05639MP
1000Y,2072602
1000Z,3801567
1001 ,4690506
10011,3801568
10013,2071826
10015,3371402
10019,3950408
1001A,0566069
1001D,2073110
1001E,2110102
1001F,8930105
1001J,5870219
1001K,060005B
1001L,9830224
1001M,2072432
1001P,8380307
1001Q,2074220
1001S,056313G
1001T,0610177
1001V,2072431
1001W,05620P0
1001X,05626CO
1001Y,8930107
10020,5460186
10021,5870226
10025,8141104
10027,05603D0
1002C,059006Q
1002E,2110102
1002G,5870222
1002H,5460109
1002M,2072432
1002N,5460187
1002Q,2074220
1002S,5460186
1002U,2071826
1002Z,3801551
10031,5870225
10032,2071826
10033,2072439
10034,5470203
10035,0400102
10036,7100510
10037,059006V
10039,05603DY
1003A,2073454
1003C,7102802
1003D,2073102
1003E,2110102
1003F,5870219
1003H,0191202
1003J,0144701
1003K,8190112
1003L,5870225
1003Q,7103213
1003X,5150011
1003Z,05603DZ
1004 ,2621802
10045,5870225
10048,5870225
1004B,0390302
1004D,5460111
1004E,2072439
1004F,0390303
1004G,0390103
1004H,7102805
1004J,0144701
1004K,3390119
1004M,2072432
1004N,8060105
1004P,7102302
1004Q,5870225
1004S,5870225
1004T,7640122
1004V,2072431
1004X,7102802
1004Y,1880210
1004Z,05601NB
1005 ,05638F6
10050,2071826
10051,2071826
10053,1380165
10057,3840102
10059,05627TK
1005A,0600005
1005B,7104605
1005C,05614K3
1005D,2073110
1005E,1220801
1005F,2072821
1005H,0191202
1005K,8190104
1005L,5110302
1005N,0390204
1005U,5870220
1005V,0390205
1005X,5870222
10065,1180802
10066,05611Z0
10067,8680615
10068,2071826
10069,5460186
1006A,5870225
1006D,2072902
1006E,1220803
1006L,05620R2
1006P,1660307
1006Q,0565572
1006U,5870219
1006V,2072439
1006W,5870219
1007 ,05617KU
10070,2071826
10072,2071826
10073,2071826
10074,5870219
10075,2071826
10076,2071826
10077,2071826
10078,0390307
10079,5870225
1007B,056386R
1007C,3990100
1007F,1152706
1007G,1145005
1007L,7102813
1007N,5870219
1007P,05613TP
1007R,5870220
1007S,4220006
1007T,2075816
1007U,5460109
1007W,0390303
1007X,7103406
1007Y,05645QW
10080,2071826
10082,2071826
10084,059007R
10085,2071826
10086,2071826
10089,2071826
1008A,207590K
1008B,05625Q9
1008C,5870219
1008D,2073110
1008E,1220460
1008F,0390303
1008J,059007Q
1008K,3990100
1008L,5870219
1008M,2072432
1008N,7102308
1008Q,0390204
1008R,5870226
1008W,5460109
1008X,7102805
1008Z,83501JH
1009 ,056344T
10091,056203C
10092,2071826
10096,2071826
10098,2071826
1009A,7101802
1009C,5870219
1009D,2073110
1009E,1220701
1009F,8380307
1009G,05614K4
1009H,0191202
1009L,0390303
1009M,5870225
1009P,2072704
1009Q,2074220
1009R,056183N
1009X,7102808
1009Z,97902YS
100A ,3980050
100AB,4300802
100AC,1390009
100AE,7103215
100AG,7150012
100AH,2075816
100AJ,2076014
100AK,4500314
100AL,3980050
100AM,7320005
100AN,1151548
100AP,2802606
100AR,2076702
100AS,2720302
100AT,056266I
100AW,2072402
100AX,2730172
100AZ,2076016
100BA,1154002
100BB,2072430
100BE,7150007
100BF,3021481
100BG,2073449
100BH,1153402
100BJ,7103212
100BN,7103206
100BR,1152909
100BS,7102308
100BT,069002L
100BU,2999006
100BV,7103812
100BW,2800202
100BY,5780460
100BZ,1152930
100C ,056064Q
100CA,2072732
100CB,2076616
100CC,2076018
100CD,05616GT
100CE,3021710
100CF,5780407
100CG,2072418
100CJ,2076702
100CN,7102308
100CR,8190110
100CS,05902GY
100CU,2730101
100CW,1690424
100CX,2075907
100DA,05634V3
100DB,2073456
100DC,5760102
100DD,7830507
100DE,1181579
100DF,056264Q
100DG,2130004
100DK,05631NC
100DP,1220801
100DQ,05623ZE
100DR,1152746
100DS,2076604
100DT,056364S
100DV,05627P7
100DX,5870225
100DZ,2073322
100EC,1152932
100ED,3980219
100EE,7640122
100EF,05612K4
100EL,2074242
100EM,7103110
100EN,3300412
100EP,05608YH
100ER,4220042
100ES,3980050
100EU,7102807
100EV,6960206
100EW,3980205
100EX,3260402
100F ,3952704
100FA,2071826
100FB,1151530
100FF,3260402
100FG,326040C
100FH,056228N
100FJ,2730101
100FL,1390009
100FM,1152730
100FN,4220001
100FP,2075816
100FR,2130001
100FV,8140310
100FY,05902VH
100FZ,3260402
100GA,3980221
100GB,05623GU
100GC,05630X8
100GD,2072779
100GF,7104605
100GG,2076603
100GH,05629V3
100GJ,2240101
100GK,2073449
100GL,9600427
100GM,1152706
100GN,8680991
100GP,4220017
100GQ,2470001
100GR,0565115
100GS,1153605
100GT,2130001
100GX,4500304
100GZ,2076814
100HD,7104605
100HF,06102D3
100HG,3980116
100HJ,2076404
100HK,05644RL
100HL,7150012
100HM,2076405
100HP,1152746
100HR,7102808
100HS,7150001
100HT,1181008
100HU,2210400
100HX,2072703
100HY,2210406
100J ,7090453
100JA,7090552
100JB,2130001
100JC,2130004
100JD,2075907
100JE,7102808
100JF,05617YD
100JG,7103218
100JH,2074242
100JL,2076010
100JM,5870108
100JP,1152740
100JR,7103102
100JT,5261402
100JV,05631HW
100JW,2076616
100JY,056381E
100K ,2072414
100KA,2073303
100KB,1152913
100KC,05605S5
100KE,5780409
100KF,2072722
100KH,2072402
100KJ,1151548
100KL,2808002
100KM,3801902
100KN,7320005
100KS,5870225
100KU,2730122
100KW,1151548
100KY,056088T
100KZ,5170805
100L ,2076016
100LB,5180120
100LC,326040C
100LD,2073704
100LE,2072449
100LG,7102815
100LJ,3260390
100LK,1151425
100LL,2075908
100LM,4360122
100LN,061006Y
100LR,1900302
100LS,1153602
100LW,7103207
100LY,7103110
100M ,2072418
100MA,2076810
100MB,2730012
100MD,2076405
100MF,05604NK
100MG,05630R1
100MH,2801002
100MJ,2130001
100ML,1152740
100MM,2072702
100MN,061007G
100MP,0110301
100MR,1152706
100MS,7102807
100MT,2076405
100MU,5780460
100MV,5910313
100MW,1152914
100MZ,326040A
100NA,7103218
100NE,7103102
100NG,056389B
100NH,0600083
100NJ,1181511
100NK,1152730
100NM,05618ZJ
100NN,1151548
100NR,056321V
100NT,05616OY
100NU,05659TT
100NV,3260402
100NY,5870219
100P ,7103110
100PA,3350000
