make.model,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,occurrences,N-NUMBER,fatalities.per.plane,serious.per.plane,minor.per.plane,uninjured.per.plane,occurrences.per.plane,total.people.effected.per.plane
PIPER J3C-65,1.0,6.0,4.0,6.0,12.0,18,3168,0.001893939393939394,0.0012626262626262627,0.001893939393939394,0.003787878787878788,0.005681818181818182,0.00883838383838384
CIRRUS DESIGN CORP SR22T,1.0,6.0,6.0,2.0,17.0,14,2362,0.002540220152413209,0.002540220152413209,0.000846740050804403,0.0071972904318374255,0.0059271803556308214,0.013124470787468246
PIPER PA-28-180,1.0,5.0,7.0,1.0,28.0,25,3492,0.0014318442153493699,0.002004581901489118,0.000286368843069874,0.008018327605956471,0.00715922107674685,0.011741122565864834
PIPER PA-28-181,1.0,6.0,0.0,2.0,31.0,20,2725,0.0022018348623853213,0.0,0.0007339449541284404,0.011376146788990826,0.007339449541284404,0.014311926605504587
CESSNA 182P,1.0,5.0,10.0,9.0,30.0,26,2097,0.002384358607534573,0.004768717215069146,0.004291845493562232,0.01430615164520744,0.01239866475917978,0.02575107296137339
PIPER PA-28-140,1.0,19.0,27.0,19.0,58.0,64,4243,0.00447796370492576,0.006363422106999765,0.00447796370492576,0.01366957341503653,0.015083667216592034,0.028988922931887817
PIPER PA-18-150,1.0,0.0,5.0,1.0,50.0,37,2035,0.0002,0.002457002457002457,0.0004914004914004914,0.02457002457002457,0.01818181818181818,0.027518427518427518
CESSNA 172M,1.0,25.0,13.0,18.0,65.0,71,3564,0.007014590347923681,0.003647586980920314,0.005050505050505051,0.01823793490460157,0.019921436588103254,0.033950617283950615
CIRRUS DESIGN CORP SR22,1.0,41.0,29.0,21.0,82.0,90,3841,0.010674303566779484,0.007550117156990367,0.005467326217130955,0.021348607133558968,0.02343139807341838,0.045040354074459776
CESSNA 172N,1.0,33.0,34.0,10.0,79.0,84,3136,0.010522959183673469,0.010841836734693877,0.0031887755102040817,0.025191326530612245,0.026785714285714284,0.04974489795918367
BD-100-1A10,2.0,0.0,0.0,2.0,8.0,2,794,0.0002,0.0,0.0025188916876574307,0.010075566750629723,0.0025188916876574307,0.012594458438287152
LEARJET INC 45,2.0,0.0,6.0,0.0,6.0,2,460,0.0002,0.013043478260869565,0.0,0.013043478260869565,0.004347826086956522,0.02608695652173913
BEECH 95-B55 (T42A),2.0,4.0,2.0,1.0,4.0,7,777,0.005148005148005148,0.002574002574002574,0.001287001287001287,0.005148005148005148,0.009009009009009009,0.014157014157014158
PIPER PA-23-250,2.0,12.0,1.0,2.0,9.0,11,908,0.013215859030837005,0.0011013215859030838,0.0022026431718061676,0.009911894273127754,0.012114537444933921,0.02643171806167401
CESSNA 560XL,2.0,7.0,0.0,0.0,45.0,10,624,0.011217948717948718,0.0,0.0,0.07211538461538461,0.016025641025641024,0.08333333333333333
PIPER PA-44-180,2.0,2.0,0.0,0.0,12.0,7,370,0.005405405405405406,0.0,0.0,0.032432432432432434,0.01891891891891892,0.03783783783783784
PIPER PA-34-200T,2.0,7.0,2.0,0.0,11.0,13,566,0.012367491166077738,0.0035335689045936395,0.0,0.019434628975265017,0.022968197879858657,0.0353356890459364
PIPER PA-30,2.0,14.0,1.0,1.0,27.0,21,879,0.015927189988623434,0.0011376564277588168,0.0011376564277588168,0.030716723549488054,0.023890784982935155,0.04891922639362912
CESSNA 340A,2.0,19.0,0.0,0.0,12.0,14,552,0.034420289855072464,0.0,0.0,0.021739130434782608,0.025362318840579712,0.05615942028985507
CESSNA 421C,2.0,16.0,5.0,0.0,12.0,13,505,0.031683168316831684,0.009900990099009901,0.0,0.023762376237623763,0.02574257425742574,0.06534653465346535
