make.model,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,occurrences,N-NUMBER,fatalities.per.plane,serious.per.plane,minor.per.plane,uninjured.per.plane,occurrences.per.plane,total.people.effected.per.plane
BOMBARDIER INC BD-100-1A10,2.0,0.0,0.0,2.0,8.0,2,794,0.0,0.0,0.0025188916876574307,0.010075566750629723,0.0025188916876574307,0.012594458438287152
LEARJET INC 45,2.0,0.0,6.0,0.0,6.0,2,460,0.0,0.013043478260869565,0.0,0.013043478260869565,0.004347826086956522,0.02608695652173913
BEECH 95-B55 (T42A),2.0,4.0,2.0,1.0,4.0,7,777,0.005148005148005148,0.002574002574002574,0.001287001287001287,0.005148005148005148,0.009009009009009009,0.014157014157014158
PIPER PA-23-250,2.0,12.0,1.0,2.0,9.0,11,908,0.013215859030837005,0.0011013215859030838,0.0022026431718061676,0.009911894273127754,0.012114537444933921,0.02643171806167401
CESSNA 560XL,2.0,7.0,0.0,0.0,45.0,10,624,0.011217948717948718,0.0,0.0,0.07211538461538461,0.016025641025641024,0.08333333333333333
PIPER PA-44-180,2.0,2.0,0.0,0.0,12.0,7,370,0.005405405405405406,0.0,0.0,0.032432432432432434,0.01891891891891892,0.03783783783783784
PIPER PA-34-200T,2.0,7.0,2.0,0.0,11.0,13,566,0.012367491166077738,0.0035335689045936395,0.0,0.019434628975265017,0.022968197879858657,0.0353356890459364
PIPER PA-30,2.0,14.0,1.0,1.0,27.0,21,879,0.015927189988623434,0.0011376564277588168,0.0011376564277588168,0.030716723549488054,0.023890784982935155,0.04891922639362912
CESSNA 340A,2.0,19.0,0.0,0.0,12.0,14,552,0.034420289855072464,0.0,0.0,0.021739130434782608,0.025362318840579712,0.05615942028985507
CESSNA 421C,2.0,16.0,5.0,0.0,12.0,13,505,0.031683168316831684,0.009900990099009901,0.0,0.023762376237623763,0.02574257425742574,0.06534653465346535
